Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1964,5.21400805193714,16823.6725217758,846739845823.178,Japan,Tokyo,France,FRA,1,8,6
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1968,5.01199562509369,19984.5896053597,1038354070752.8,Mexico,Mexico City,France,FRA,7,3,5
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1972,4.30091904901224,23654.1845528499,1267680569981.33,West Germany,Munich,France,FRA,2,4,7
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1976,3.97854374883781,25772.3034605628,1409534980791.88,Canada,Montreal,France,FRA,2,3,4
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1980,2.50539657528306,27567.0791373818,1536008235461.47,Soviet Union,Moscow,France,FRA,6,5,3
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1984,2.33727638138235,28814.1742519174,1641719936320.68,United States,Los Angeles,France,FRA,5,7,16
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1988,2.92393513681762,32524.0587566986,1894061230965.3,South Korea,Seoul,France,FRA,6,4,6
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1992,2.35834219932032,33338.3390647729,1977870042656.88,Spain,Barcelona,France,FRA,8,5,16
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1996,3.58865943494122,36073.6365822802,2171138280548.45,United States,Atlanta,France,FRA,15,7,15
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,2000,1.13553148737473,38942.2812136435,2406838087998.32,Australia,Sydney,France,FRA,13,14,11
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,2004,2.44932360177216,40850.3555428927,2598956033979.84,Greece,Athens,France,FRA,11,9,13
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,2008,1.94943763160794,40638.33400426,2642609548930.36,China,Beijing,France,FRA,7,16,20
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,2012,0.956183042120372,41478.2469655007,2750675573588.84,Great Britain,London,France,FRA,11,11,13
146,GAB,Gabon,Libreville,Africa,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03,Gabon,GAB,2012,4.31496444107471,9467.36378585918,17834619899.8015,Great Britain,London,Gabon,GAB,0,1,0
